duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
143124,1,0.915,0.548,6,-7.15,0,0.326,0.0048,0.0,0.187,0.538,134.878,4,kids
164000,0,0.795,0.511,7,-8.577,1,0.0415,0.298,0.0,0.149,0.113,119.908,4,party
241171,0,0.599,0.845,2,-6.05,0,0.0389,0.0282,0.0,0.0749,0.858,74.992,4,ska
302293,1,0.567,0.366,9,-23.235,1,0.955,0.602,0.0,0.68,0.238,98.578,4,comedy
242037,0,0.592,0.528,6,-7.88,0,0.0968,0.148,0.0,0.0927,0.357,129.938,4,turkish
228284,0,0.596,0.416,2,-13.101,1,0.0311,0.913,0.0179,0.302,0.919,137.501,4,rock-n-roll
263826,0,0.513,0.918,1,-2.792,0,0.0626,0.0455,0.0,0.0654,0.814,157.94,4,j-pop
77883,0,0.196,0.448,10,-23.336,1,0.0706,0.65,0.93,0.208,0.0235,109.135,4,sleep
301120,0,0.789,0.492,7,-12.485,1,0.165,0.000242,0.912,0.08,0.286,135.035,4,idm
277586,0,0.516,0.847,4,-9.327,0,0.0457,0.00107,0.798,0.286,0.0504,129.868,4,breakbeat
