track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
THAT BITCH,68,201101,1,0.778,0.738,2,-2.164,1,0.218,0.0103,0.0,0.55,0.626,162.132,4,indie-pop
Psychosocial,76,284120,0,0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4,metal
A Month from Now,34,192392,0,0.415,0.619,2,-7.624,0,0.123,0.946,2.75e-05,0.799,0.739,77.009,4,acoustic
Tu Hai Wajah,37,193925,0,0.698,0.385,3,-13.217,1,0.0763,0.636,0.00409,0.134,0.493,135.167,3,singer-songwriter
By the Deep Sea,52,238318,0,0.541,0.21,5,-22.624,0,0.0373,0.885,0.868,0.0876,0.0461,119.916,4,ambient
Dione,63,148662,0,0.447,0.0136,2,-26.598,1,0.0432,0.985,0.931,0.108,0.14,67.659,4,piano
Rhythm of the Rain,61,146360,0,0.659,0.66,0,-8.337,1,0.0441,0.627,0.000217,0.136,0.672,116.634,4,r-n-b
Rosa Morena,44,187293,0,0.538,0.857,7,-6.395,1,0.0494,0.725,0.0166,0.773,0.728,106.679,4,pagode
Onde está / Volta de vez pra mim,35,283786,0,0.556,0.715,0,-7.831,1,0.0544,0.455,0.0,0.946,0.688,93.287,4,samba
Escassez,41,190766,0,0.7,0.357,1,-14.866,0,0.142,0.536,0.0,0.0699,0.129,123.946,4,mpb
Los Mareados (Los Dopados),21,226626,0,0.201,0.31,2,-11.791,1,0.0316,0.953,0.0048,0.22,0.0802,89.062,4,tango
Shadows,42,223152,0,0.329,0.997,0,-5.475,0,0.0663,0.00176,0.976,0.724,0.255,137.955,4,trance
Electro Lofi,44,115200,0,0.662,0.365,7,-13.033,1,0.0762,0.606,0.839,0.756,0.184,74.995,4,study
"Ennai Vittu (From ""Love Today"")",52,244669,0,0.602,0.388,0,-12.098,0,0.0536,0.334,3.7e-05,0.126,0.3,140.006,4,k-pop
Firefly,50,218000,0,0.533,0.828,11,-5.533,1,0.0353,0.161,0.00242,0.0588,0.391,79.947,4,indie-pop
Tô Bem Passou,36,212558,0,0.578,0.691,1,-4.849,1,0.0327,0.632,0.0,0.135,0.581,160.291,4,forro
Let's Go Halvsies on a Bastard,24,80013,0,0.341,0.981,11,-2.575,0,0.149,0.000613,0.000196,0.42,0.0465,125.018,4,death-metal
Vai Passar,40,351689,0,0.411,0.609,0,-6.149,1,0.0301,0.279,0.0,0.0969,0.236,139.92,4,gospel
Used to,52,168015,1,0.75,0.473,3,-7.162,1,0.18,0.598,0.0,0.27,0.49,79.986,4,emo
More Than I Can Say,49,149973,0,0.578,0.295,1,-10.379,1,0.0294,0.792,0.0,0.109,0.603,101.171,4,rock-n-roll
La Mini Mini,27,246346,0,0.71,0.822,10,-6.15,1,0.192,0.445,0.0,0.0689,0.689,118.037,4,salsa
Paradise Valley,39,282266,0,0.788,0.887,10,-8.287,0,0.0548,0.449,0.896,0.11,0.405,117.813,4,detroit-techno
Ma Baker,15,191400,0,0.534,0.981,7,-3.963,1,0.0722,0.00264,0.00184,0.366,0.61,135.007,4,grindcore
Pare Querida,20,176234,0,0.824,0.79,8,-4.899,1,0.235,0.5,0.0,0.0451,0.685,132.024,4,club
Goa Sunset,36,344400,0,0.657,0.421,2,-13.878,0,0.0331,0.79,0.841,0.083,0.145,115.961,4,new-age
Burning Up (Fire),72,203351,0,0.626,0.706,10,-3.201,0,0.0596,0.00225,0.0,0.122,0.534,99.939,4,k-pop
